State Name,District Name,Subdistrict Name,Facility Type,Facility Name,Facility Address,Latitude,Longitude,ActiveFlag_C,Location Type,Type Of Facility
A & N Islands,Nicobar,Nancowry,chc,CHC Nancowry,Kamorta,7.96109,93.5589,Y,Rural,Public
A & N Islands,South Andaman,Ferrargunj,chc,CHC Bambooflat,NA,11.7303,92.65003,Y,Rural,Public
A & N Islands,North and Middle Andaman,Rangat,chc,CHC Rangat,NA,12.71609,92.90579,Y,Rural,Public
A & N Islands,North and Middle Andaman,Diglipur,chc,CHC Diglipur,NA,13.30682,92.9411,Y,Rural,Public
A & N Islands,Nicobar,Car Nicobar,dis_h,BJR Hospital,NA,9.14893,92.75578,Y,Rural,Public
A & N Islands,South Andaman,Port Blair,dis_h,G.B.Pant Hospital,NA,11.68438,92.6987,Y,Rural,Public
A & N Islands,North and Middle Andaman,Mayabunder,dis_h,Dr. R.P.Hospital,NA,13.02956,92.84845,Y,Rural,Public
A & N Islands,Nicobar,Great Nicobar (Campbell Bay),phc,PHC Campbell Bay,NA,6.98522,93.84627,Y,Rural,Public
A & N Islands,Nicobar,Great Nicobar (Campbell Bay),phc,PHC Gandhinagar,NA,6.98523,93.84628,Y,Rural,Public
A & N Islands,Nicobar,Nancowry,phc,PHC Katchal,NA,7.92438,93.40207,Y,Rural,Public
A & N Islands,Nicobar,Nancowry,phc,PHC Teressa,NA,7.96108,93.55889,Y,Rural,Public
A & N Islands,South Andaman,Little Andaman,phc,PHC R K Pur,NA,10.70112,92.47363,Y,Rural,Public
A & N Islands,South Andaman,Little Andaman,phc,PHC Hut Bay,NA,10.70116,92.47367,Y,Rural,Public
A & N Islands,South Andaman,Ferrargunj,phc,PHC Manglutan,NA,11.60279,92.66471,Y,Rural,Public
A & N Islands,South Andaman,Ferrargunj,phc,PHC Chouldari,NA,11.60279,92.66471,Y,Rural,Public
A & N Islands,South Andaman,Ferrargunj,phc,PHC Tushnabad,NA,11.60281,92.66473,Y,Rural,Public
A & N Islands,South Andaman,Port Blair,phc,PHC Neil Island,NA,11.62719,92.70317,Y,Rural,Public
A & N Islands,South Andaman,Port Blair,phc,UHC Shadipur,NA,11.6589225,92.7474876,Y,Urban,Public
A & N Islands,South Andaman,Port Blair,phc,UHC Junglighat,NA,11.661875,92.730446,Y,Urban,Public
A & N Islands,South Andaman,Port Blair,phc,UHC Delanipur,NA,11.678023,92.72151,Y,Urban,Public
A & N Islands,South Andaman,Port Blair,phc,UHC Haddo,NA,11.678023,92.72151,Y,Urban,Public
A & N Islands,South Andaman,Ferrargunj,phc,PHC Wimberlygunj,NA,11.73032,92.65005,Y,Rural,Public
A & N Islands,South Andaman,Port Blair,phc,PHC Havelock,NA,11.9968,92.99096,Y,Rural,Public
A & N Islands,South Andaman,Ferrargunj,phc,PHC Ferrargunj,NA,12.00999,92.6301,Y,Rural,Public
A & N Islands,North and Middle Andaman,Mayabunder,phc,PHC Billiground,NA,12.628,92.82398,Y,Rural,Public
A & N Islands,North and Middle Andaman,Rangat,phc,PHC Baratang,NA,12.62802,92.82399,Y,Rural,Public
A & N Islands,North and Middle Andaman,Rangat,phc,PHC Kadamtala,NA,12.68803,92.8118,Y,Rural,Public
A & N Islands,North and Middle Andaman,Mayabunder,phc,PHC Tugapur,NA,13.02954,92.84843,Y,Rural,Public
A & N Islands,North and Middle Andaman,Diglipur,phc,PHC Kalighat,NA,13.30683,92.94111,Y,Rural,Public
A & N Islands,North and Middle Andaman,Diglipur,phc,PHC Radha Nagar,NA,13.30683,92.94111,Y,Rural,Public
A & N Islands,North and Middle Andaman,Diglipur,phc,PHC Kishori Nagar,NA,13.30686,92.94114,Y,Rural,Public
A & N Islands,Nicobar,Nancowry,sub_cen,SC Minyuk,NA,7.96102,93.55883,Y,Rural,Public
A & N Islands,Nicobar,Nancowry,sub_cen,SC Luxi,NA,7.96102,93.55883,Y,Rural,Public
A & N Islands,Nicobar,Nancowry,sub_cen,SC Chowra,NA,7.96102,93.55883,Y,Rural,Public
A & N Islands,Nicobar,Nancowry,sub_cen,SC Alorong,NA,7.96102,93.55883,Y,Rural,Public
A & N Islands,Nicobar,Nancowry,sub_cen,SC Enam,NA,7.96102,93.55883,Y,Rural,Public
A & N Islands,Nicobar,Nancowry,sub_cen,SC E Wall,NA,7.9768474,93.5509004,Y,Rural,Public
A & N Islands,Nicobar,Nancowry,sub_cen,SC Upper Katchal,NA,7.9768474,93.5509004,Y,Rural,Public
A & N Islands,Nicobar,Nancowry,sub_cen,SC Meenakshi Ram Nagar,NA,7.9768474,93.5509004,Y,Rural,Public
A & N Islands,Nicobar,Nancowry,sub_cen,SC Balu Basti,NA,7.9768494,93.5508984,Y,Rural,Public
A & N Islands,Nicobar,Nancowry,sub_cen,SC Munak,NA,7.9768494,93.5508984,Y,Rural,Public
A & N Islands,Nicobar,Nancowry,sub_cen,SC Tapong,NA,7.9768494,93.5508984,Y,Rural,Public
